Title,Address,Description,Price,Date added,Seller,Url
2 bedroom terraced house for sale,"John Smith Gate, Barrhead, Glasgow","**Please note Closing Date Set - Tuesday 6/7/21@12noon** Patch Estate Agents are delighted to offer to the market this seldom available Two Bedroom Mid Terrace Villa. Situated in a sought after area of Barrhead, Glasgow. Accommodation comprises lounge, dining kitchen, conservatory, 2 double ...","£132,995",Added on 22/06/2021,"Patch Property, Renfrewshire",www.rightmove.co.uk/properties/89842912
2 bedroom apartment for sale,"Muirend Avenue, Cathcart Glasgow, G44 3DZ","Unexpectedly Back on the Market ****3D VIDEO TOUR AVAILABLE ***** Mitchells Sales and Lettings are delighted to market this second floor modern Apartment in this sought after development, this particular flat has been thoughtfully upgraded by the current owner. ","£132,750",Added on 16/04/2021,"Mitchells Sales and Letting, Glasgow",www.rightmove.co.uk/properties/89842912
1 bedroom apartment for sale,"2/3, 45 Mitchell Street, City Centre, Glasgow, G1 3LA",SUPER CENTRAL 2ND FLOOR 1 BEDROOM EXECUTIVE APARTMENT SET WITHIN A STUNNING CONTEMPORARY BUILDING NESTLED BETWEEN THE EXISITNG PERIOD MERCHANT BUILDINGS IN THE CENTRE OF GLASGOW.,"£132,000",Reduced on 24/06/2021,"Ivy Property, Glasgow",www.rightmove.co.uk/properties/77716422
2 bedroom apartment for sale,"Belleisle Street, Glasgow",*** CLOSING DATE TUESDAY 6TH JULY AT 3PM *** A stunning second floor tenement flat situated in this convenient pocket of Crosshill. The property has been completely refurbished by the current owners to a create a home of outstanding quality that is a must for viewing in order to b...,"£130,000",Added on 23/06/2021,"Rettie & Co, Shawlands",www.rightmove.co.uk/properties/77716422
2 bedroom flat for sale,"Lochview, 8 Cadder Court, Gartcosh, G69 8FB",This spacious flat has undergone a significant programme of modernisation and improvements under the present owners and is presented to the market in fabulous order throughout. EPC-B,"£130,000",Added on 23/06/2021,"Pacitti Jones, Lenzie",www.rightmove.co.uk/properties/109281350
2 bedroom terraced house for sale,"Hardgate Gardens, Glasgow, G51",Well presented terraced property set within this mature residential setting with two double bedrooms modern kitchen and bathroom and off street parking this is an ideal family home. Impressive two bedroom terraced property located in this quiet residential area close to local amenities and trans...,"£130,000",Added on 25/06/2021,"Purplebricks, covering Glasgow",www.rightmove.co.uk/properties/109281350
2 bedroom apartment for sale,"Garngaber Place, Moodiesburn, Glasgow, G69","Ross Baxter of Keller Williams is delighted to present to the market this rarely available, walk-in condition 2 bedroom apartment. This is a modern home in the highly sought after Garngaber Place of Moodiesburn, Glasgow. The bright and welcoming entrance hallway gives access to every r...","£130,000",Added on 28/06/2021,"Keller Williams, Scotland",www.rightmove.co.uk/properties/106333340
2 bedroom flat for sale,"Orchard Court , Thornliebank , Glasgow, G46 7BL","HD Video Available. This 1960’s two bedroom flat has a preferred first floor position and offers a great cul de sac setting within Thornliebank. Our floor plan will show the accommodation in full but in summary it comprises; main door security entry, reception hall, lounge/dining room,...","£130,000",Added on 08/06/2021,"Clyde Property, Clarkston",www.rightmove.co.uk/properties/106333340
2 bedroom flat for sale,"Hurlethill Court, Glasgow, Lanarkshire, G53","Most impressive and spacious modern first floor flat is sure to appeal to the discerning purchaser seeking a quality home within this admired development. The accommodation comprises reception hallway, lounge, dining kitchen, two double bedrooms (master with en suite shower room) and bathroom. D...","£130,000",Added on 29/04/2021,"Countrywide, Shawlands",www.rightmove.co.uk/properties/88831333
2 bedroom flat for sale,"Shieldhall Road, Glasgow","*CLOSING DATE SET FOR 14TH JULY 2021 *Fantastic opportunity to be situated in a very unique quirky building, with easy access to the M8 Motorway, The Clyde Tunnel, Braehead Shopping Centre and the Queen Elizabeth Hospital. This is a truly unique, two-bedroom modern apartment set within Glasgow...","£130,000",Reduced on 31/05/2021,"Doorsteps.co.uk, National",www.rightmove.co.uk/properties/88831333
2 bedroom semi-detached house for sale,"Sandyhills Drive, Sandyhills, Glasgow, G32","***VIDEO TOUR*** A 2 Bedroom Semi-Detached Villa With Excellent Storage, Landscaped Rear Gardens, Multicar Driveway, Sought After Locale, Modern High Gloss Dining Kitchen, Viewing Advised.","£130,000",Added on 28/06/2021,"A B PROPERTY CONSULTANTS, Baillieston",www.rightmove.co.uk/properties/109362599
2 bedroom flat for sale,"Kirkton Avenue, Knightswood, Glasgow, G13","An opportunity to acquire a spacious upper cottage flat in popular residential locale. The accommodation comprises outer porch to main door with staircase to reception hallway , excellent lounge giving access to fitted kitchen, two well proportioned double sized bedrooms and 3 piece bathroom su...","£130,000",Added on 14/05/2021,"Slater Hogg & Howison, West End, Glasgow",www.rightmove.co.uk/properties/109362599
Land for sale,"Menock Road, Glasgow, Lanarkshire, G44",An enviable plot of land with approved planning to build a striking detached villa located at a favourable spot within Kings Park. All details can be found at the Agents - please enquire within.,"£130,000",,"Marketed by Slater Hogg & Howison, Burnside",www.rightmove.co.uk/properties/109336238
3 bedroom terraced house for sale,"Cumlodden Drive, Glasgow","This 3-bed terraced villa sits in Maryhill beside the Maryhill Locks on the Forth and Clyde Canal only 3.4 miles to the city centre. It is in great condition and is close to a train station, buses and shops. Dawsholm Park and the walking and cycle paths on the canal are within walking distance.","£130,000",Added on 24/06/2021,"Yopa, Scotland",www.rightmove.co.uk/properties/109336238
2 bedroom flat for sale,"Howard Street, Glasgow, Lanarkshire, G1","This bright and spacious 2 bed upper floor apartment in the popular Regency Apartments development is set in a most convenient city centre location, perfect for amenities aplenty including transport and high street shopping and includes a gym in the building! This property will surely appeal to a...","£130,000",Added on 01/06/2021,"Countrywide, Glasgow City Living",www.rightmove.co.uk/properties/109497398
2 bedroom flat for sale,"Brunton Street, Glasgow, G44",Tenanted buy-to-let investment in the Cathcart area of Glasgow. Fully compliant for the rental market with a excellent long-term tenant. ,"£130,000",Added on 04/06/2021,"Portolio, Edinburgh",www.rightmove.co.uk/properties/109497398
1 bedroom flat for sale,"White Cart Court, Shawlands, G43 2AT"," Shanta Residential are delighted to bring to the market this beautiful, modern one bedroom flat in the popular area of Shawlands. This property is in spectacular condition and boasts modern features and neutral design, providing a ready to move-in home. The flat is accessed through the secure d...","£130,000",Added on 14/06/2021,"Shanta Residential, Glasgow",www.rightmove.co.uk/properties/109605773
1 bedroom flat for sale,"Wilson Street, Glasgow",1 Bedroom 1st Floor City Centre Apartment New Neighbours Estate Agents are pleased to present to the market this first floor city centre Apartment located on Wilson Street in the heart of the Merchant City Glasgow. This location offers a wealth of amenities and is unquestionably one of the...,"£130,000",Added on 14/05/2021,"New Neighbours, Glasgow",www.rightmove.co.uk/properties/109605773
1 bedroom flat for sale,"Beresford Building, 460 Sauchiehall Street, Flat 6/3, Glasgow City, Glasgow, G2",Fabulous opportunity to purchase this one-bedroom flat located within the iconic Art Deco architectural style Beresford Building in the centre of Glasgow. Internal viewing is highly recommended to appreciate the property on offer.,"£130,000",Added on 03/03/2021,"Scottish Property Centre, Glasgow",www.rightmove.co.uk/properties/108423329
3 bedroom semi-detached villa for sale,"2 Marmion Drive, Kirkintilloch, Glasgow, G66 2BQ","This spacious family home is situated in a popular location within the town of Kirkintilloch and boasts plenty of storage space and roomy accommodation. Ideal for a young family, professional couple or even a canny Buy-to Let investor.","£129,995",Added on 10/05/2021,"McEwan Fraser Legal, Edinburgh",www.rightmove.co.uk/properties/108423329
2 bedroom flat for sale,"1/1 1014 Pollokshaws Road, , Glasgow, G41 2HG",Wonderful opportunity to develop very spacious property in a highly prized location.,"£129,995",Added on 25/06/2021,"McEwan Fraser Legal, Edinburgh",www.rightmove.co.uk/properties/106176272
2 bedroom end of terrace house for sale,"Alford Avenue, West Craigs, Blantyre","Hello, are you looking for a beautiful, 2 bedroom end terraced home, in Westcraigs, Blantyre? Would you like a lovely, bright lounge with wood laminate flooring and french doors leading into the kitchen/diner? What about a good size kitchen/diner with light wood units, contrasting wo (cont.)","£129,995",Added on 09/06/2021,"Igloo, Hamilton",www.rightmove.co.uk/properties/109799147
2 bedroom flat for sale,"Prince Edward Street, Queens Park, Glasgow, G42",Rannoch are pleased to bring to the market this 2 bedroom first floor flat situated in Queens Park on the Southside.,"£129,950",Added on 11/06/2021,"Rannoch Property, Glasgow",www.rightmove.co.uk/properties/108481601
1 bedroom flat for sale,"Alexandra Gate, Dennistoun, G31 3AY","***HD 360 VIRTUAL TOUR AVAILABLE*** Keys Estate Agents are delighted to present to the market, this rarely available modern second floor flat, set within the popular and much sought after development ...","£129,950",Added on 11/06/2021,"Keys Estate Agents, Glasgow",www.rightmove.co.uk/properties/108481601
2 bedroom flat for sale,"Meadowpark Street, Dennistoun, G31 2TE","****360 VIRTUAL VIEWING TOUR AVAILABLE****Keys Estate Agents are delighted to offer to the market this traditional sandstone garden flat, set within the popular address of Meadowpark Street, Dennistou...","£129,950",Added on 05/06/2021,"Keys Estate Agents, Glasgow",www.rightmove.co.uk/properties/108607052
3 bedroom terraced house for sale,"Glen More, Glasgow, G74","A rarely available, mid terraced villa conveniently located for a host of amenities and transport links. This fabulous family home comprises a welcoming reception hall, spacious lounge, open plan kitchen/diner, three well proportioned bedrooms, family shower room, conservatory and private land...","£129,950",Added on 26/06/2021,"Purplebricks, covering Glasgow",www.rightmove.co.uk/properties/108607052
